"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0261284",51.0130239523776,2.31069354353989,0.291872215715591,7.91679858212848,2.43704056418141e-15,3.38058143594698e-13
"FBgn0038198",62.2913022634452,2.39410827088012,0.30439428712175,7.86515507080637,3.68640505216375e-15,5.02982774576375e-13
"FBgn0036985",1932.81686662789,-1.34828011397609,0.171952031692161,-7.84102462010951,4.46884802340823e-15,5.99906808045591e-13
"FBgn0039479",175.678112416903,1.54929818220535,0.198318108844306,7.81218715342663,5.62040196091021e-15,7.42517547946915e-13
"FBgn0001137",494.057862333951,-1.25440682463335,0.161453008934501,-7.76948557918941,7.88055139924409e-15,1.02484108274857e-12
"FBgn0002527",37820.8447269353,-0.747863801766841,0.0963909342491102,-7.75865290229558,8.58362142112312e-15,1.09909970904627e-12
"FBgn0034638",1664.00941883663,-0.912090238383418,0.118129942914986,-7.72107575671831,1.15351964714776e-14,1.45465818533498e-12
"FBgn0001258",1520.17422079885,0.938352340513466,0.122039853786565,7.68890089097082,1.48404362511466e-14,1.84353658087004e-12
"FBgn0032598",315.321279016528,1.08702300419097,0.141551813963214,7.6793293830446,1.59923553904574e-14,1.9574172634526e-12
"FBgn0034438",74.5940245247824,1.9004568593794,0.24764550592296,7.67410194784887,1.66581558752323e-14,2.00935987463128e-12
"FBgn0038528",152.602204393006,1.39541657263428,0.182416283770108,7.64962723609078,2.01562750005228e-14,2.39658109756217e-12
"FBgn0036684",908.268719002069,-0.879658602986454,0.115362847797407,-7.62514639488839,2.43757598333228e-14,2.85745702947529e-12
"FBgn0024984",120.722809158927,1.48283609500669,0.194929811058681,7.60702576457276,2.80475416068994e-14,3.24221789991977e-12
"FBgn0031912",1318.33887038031,-1.07464138338726,0.141497693006098,-7.59476257567638,3.0835728129449e-14,3.51569541399183e-12
"FBgn0261560",1755.86868173783,-0.887317479637733,0.116942362727011,-7.58764795704599,3.25764538738383e-14,3.66397061610752e-12
"FBgn0050463",42.093388347849,2.61791068133751,0.346472752963114,7.55589193940517,4.15999121686771e-14,4.61648091973199e-12
"FBgn0034389",110.751462135446,-1.9217717282441,0.25703515739284,-7.47668819992181,7.62189622538542e-14,8.34697924787933e-12
"FBgn0002868",100.134853725014,-2.13187556570383,0.28647598938375,-7.44172511731191,9.93788499375562e-14,1.07419502341595e-11
"FBgn0086910",87.0667848162797,1.80728503260137,0.243317136826281,7.42769315870961,1.10507940952789e-13,1.17917640070521e-11
"FBgn0032004",961.594774571443,-1.1856658137454,0.160783334880781,-7.37430788224756,1.65201014643141e-13,1.74046587958844e-11
"FBgn0011260",211.128216078428,2.04874831357,0.279091469962839,7.34077725070846,2.12356981803144e-13,2.20930894943446e-11
"FBgn0035765",556.565924409498,0.990068452243988,0.135039962398338,7.33167008239755,2.27302108627554e-13,2.33559932111991e-11
"FBgn0031322",396.81370023956,-1.41153392994096,0.192777045268874,-7.32210584497877,2.44109484178102e-13,2.47771126440773e-11
"FBgn0034405",2290.49513443639,0.656476690708978,0.0897587612112419,7.31378956048646,2.59711770888548e-13,2.60431454109083e-11
"FBgn0000406",265.508207219706,-2.03319402000253,0.279509715324876,-7.27414436252898,3.48623016920675e-13,3.45427305932235e-11
"FBgn0027515",446.29995365465,0.900753685733052,0.12401357134982,7.26334767984537,3.77625634249861e-13,3.69762135748422e-11
"FBgn0031150",795.373694523486,1.18121722083562,0.16287200517714,7.25242634270343,4.09370882442011e-13,3.96185331926146e-11
"FBgn0000567",261.177919822776,-1.22641821281262,0.169246414834146,-7.24634677794774,4.28163037779501e-13,4.0960930614239e-11
"FBgn0034885",160.521967260824,1.63327091030362,0.226566430912882,7.20879480566842,5.64492490860085e-13,5.3389443198051e-11
"FBgn0033065",29.9474261954372,3.02197524491869,0.419782100692533,7.19891400784648,6.06940112998284e-13,5.67591298930867e-11
"FBgn0051431",2283.72217226644,-0.732615637829822,0.101911967752274,-7.18871055076332,6.54060650414408e-13,6.04860754822124e-11
"FBgn0037646",39.6194029275577,-2.80724226570481,0.391137001081147,-7.17713296861528,7.11884451113537e-13,6.5110047105692e-11
"FBgn0030037",713.788951310912,0.727614518367745,0.101689405993625,7.15526372937376,8.35122105749973e-13,7.55513183277937e-11
"FBgn0023549",216.541760282419,-1.57170991564226,0.220578773735407,-7.1253905760107,1.03785956839927e-12,9.28828514815822e-11
"FBgn0003502",1202.90340589069,0.729433867888609,0.103631464815814,7.03872968682867,1.94000305560491e-12,1.71772823742549e-10
"FBgn0039113",474.333402699434,0.948035142356253,0.135177420006479,7.01326554620451,2.32818961011347e-12,2.03973917104994e-10
"FBgn0053307",1013.60990880891,-1.45264277765714,0.207637379163808,-6.99605621833213,2.63267933083112e-12,2.28247813234452e-10
"FBgn0003076",1498.63736847875,0.712412607358271,0.10186185178483,6.99390983842658,2.67329394018479e-12,2.29379643960392e-10
"FBgn0035344",77.3906854234971,-1.64720731451899,0.235810115972903,-6.98531234643161,2.84222928472541e-12,2.4138647282418e-10
"FBgn0031327",756.376001806102,1.22581713298356,0.175886860289713,6.96935024574579,3.18408101871446e-12,2.67687942613742e-10
"FBgn0063492",587.735380417937,0.796082879052982,0.115255798308217,6.9070961351905,4.94674729699607e-12,4.11717777528983e-10
"FBgn0038805",749.301501358822,0.753797578015164,0.109291925152954,6.89710220549436,5.30739992567129e-12,4.37361282983783e-10
"FBgn0033426",352.952359113148,-0.984338071863527,0.14343695701513,-6.86251362513006,6.76592829829474e-12,5.52086482614775e-10
"FBgn0039640",72.0247462362931,-1.79885209299297,0.262377317031335,-6.85597411142875,7.0828204178281e-12,5.72333148908576e-10
"FBgn0000116",658.392246950606,1.29078622372885,0.189937543837086,6.79584561141836,1.07679044405146e-11,8.61742967869261e-10
"FBgn0033367",15324.7662695322,1.45482572066305,0.214808453448606,6.77266512237665,1.26431372850502e-11,1.00217934879498e-09
"FBgn0031703",90.8211171043253,-1.84589441029428,0.272779980773505,-6.76697170026918,1.31505786375915e-11,1.03256854717617e-09
"FBgn0051363",7162.51092793587,0.918314916651231,0.135772855384761,6.76361201986107,1.3459321785746e-11,1.04693397404452e-09
"FBgn0033775",46.8800238170876,1.93462263455945,0.28776648343696,6.72289076703146,1.78154143119926e-11,1.37294160480291e-09
"FBgn0038865",282.797843257863,-1.03742674848929,0.154535918062083,-6.7131755613767,1.90433758270917e-11,1.45411024778793e-09
"FBgn0052625",155.798966266562,1.60333835210913,0.240416750004789,6.66899603325139,2.57559213989755e-11,1.94878667094248e-09
"FBgn0033724",152.832426365126,1.42422799425302,0.214606183608715,6.63647230617443,3.21279265356735e-11,2.40901560861631e-09
"FBgn0035727",65.2382080197701,1.58874242015582,0.239593209707279,6.63099935969326,3.33421682039292e-11,2.47773987465449e-09
"FBgn0029801",1492.2907154224,-0.810051845367825,0.122757803307277,-6.59878088026856,4.14552477794713e-11,3.05338077228797e-09
"FBgn0052412",1088.29296393936,-0.664155287182798,0.100720190426373,-6.594063060954,4.27949792338764e-11,3.12440887862766e-09
"FBgn0035147",19322.7427980903,-1.10389841467172,0.16746417938526,-6.59184799235268,4.34385233178378e-11,3.14381590934230e-09
"FBgn0015568",210.36568254021,1.06657591841346,0.162174181448965,6.57673070327232,4.80904603183631e-11,3.45049052784255e-09
"FBgn0035761",584.24372961436,0.739238110511557,0.112577482293215,6.56648288319473,5.15175662620113e-11,3.6647923418694e-09
"FBgn0015371",376.597146043775,-0.994378519431047,0.151461809385318,-6.56520956316686,5.19597351813132e-11,3.66492267723788e-09
"FBgn0020248",35.6257697080042,2.12281267344207,0.324995351793708,6.53182472218719,6.49731690347198e-11,4.54429988131069e-09
"FBgn0031374",1994.69207554557,-0.81591669870757,0.12553191505696,-6.49967538802659,8.04935086553288e-11,5.58289560448585e-09
"FBgn0004893",479.324073607467,-0.818733063111938,0.12601070906075,-6.49732922871839,8.17584142224343e-11,5.62376265763075e-09
"FBgn0040388",1478.46090025325,-1.03443574330721,0.159285397735532,-6.49422833488309,8.34600846989316e-11,5.6937564340099e-09
"FBgn0259715",804.645238761246,-1.78449637629111,0.275675086659684,-6.47318696046711,9.59570981056712e-11,6.49309697181708e-09
"FBgn0053516",706.246416594254,-0.779684253426902,0.12074028077458,-6.45753222060628,1.0642409855727e-10,7.14328848622707e-09
"FBgn0029002",1587.72811315595,1.43767487642959,0.223522365743798,6.43190613899216,1.26013551577849e-10,8.39048631825949e-09
"FBgn0038351",97.3791361116169,-1.63290383783682,0.254327710237062,-6.42047158885978,1.35852824596726e-10,8.97383380252818e-09
"FBgn0037635",167.521439147164,-1.08195259834988,0.168737827202476,-6.41203348583832,1.43591285831528e-10,9.41031710217174e-09
"FBgn0039464",820.529102252368,1.12612377591405,0.175981618198538,6.39909887999544,1.56296605859902e-10,1.01564581224504e-08
"FBgn0027949",1448.17954774461,0.646067515237527,0.100979481062379,6.39800787685202,1.57417169025123e-10,1.01564581224504e-08
"FBgn0261238",912.604214590372,0.779986822839808,0.1223004506036,6.37762836514722,1.79851290701106e-10,1.15146330192716e-08
"FBgn0038476",1367.42334401925,0.675456952958578,0.106073562463349,6.36781623311618,1.91738443438413e-10,1.21819775934192e-08
"FBgn0030598",37.9496164253343,2.08734522679097,0.328205116457843,6.3598802155148,2.01911142914921e-10,1.2731109412734e-08
"FBgn0032029",339.990503738381,-0.936012122997272,0.148634525765754,-6.29740713454703,3.02665572498778e-10,1.89404929316341e-08
"FBgn0004369",833.206490963162,-0.787234575160821,0.125034167502154,-6.29615561000363,3.05118081602442e-10,1.8951476068486e-08
"FBgn0010591",1635.86351148071,-0.659276189002105,0.104777967207562,-6.29212616518983,3.13146796322509e-10,1.93060798947573e-08
"FBgn0036299",655.122274652677,0.939687977645013,0.149761285544696,6.27457205797399,3.50597234815491e-10,2.14560351865392e-08
"FBgn0020257",1080.02578479001,-0.67968644267538,0.108511926608843,-6.26370265386099,3.75942027975306e-10,2.28391642250984e-08
"FBgn0030805",340.911562563948,1.07572947455194,0.172495506024289,6.2362753636055,4.48112023800118e-10,2.70263505368723e-08
"FBgn0039593",42.4946506743156,1.93786122436046,0.313148536892517,6.18831319983333,6.08114133152186e-10,3.64124743181701e-08
"FBgn0028433",92.7261508365271,-1.34826583697542,0.219761356740966,-6.13513611751419,8.50863095245722e-10,5.05838110123582e-08
"FBgn0037872",397.026724855338,-0.834397579329864,0.136365149729589,-6.11884767467692,9.42544480884306e-10,5.54174486291851e-08
"FBgn0050069",1553.51023495601,-0.869503612600473,0.142114043314914,-6.1183510954911,9.45485726942723e-10,5.54174486291851e-08
"FBgn0034391",65.1265053789664,1.56078160413881,0.256592342032737,6.08272870411573,1.18154180343181e-09,6.87690379717687e-08
"FBgn0027091",1185.73017284578,-0.659454028684957,0.108436877345169,-6.08145535753326,1.19096527657165e-09,6.88361388674017e-08
"FBgn0031689",274.174367875674,0.957155526363252,0.15799868112334,6.0579969374305,1.37827019785652e-09,7.91127093569643e-08
"FBgn0039809",582.995876037301,-0.877387003152479,0.145404050009817,-6.03413043235893,1.59820939731855e-09,9.1108882286865e-08
"FBgn0052135",240.708327074597,1.30884510351669,0.217620486255428,6.01434693046526,1.80613335807493e-09,1.02261550607195e-07
"FBgn0032638",131.937964525685,-1.43597376424857,0.238880158669659,-6.01127264920458,1.84072522799591e-09,1.03515919409527e-07
"FBgn0035403",496.336141885826,-0.953075697450022,0.158934729075817,-5.99664845431845,2.01431466646756e-09,1.12517724624225e-07
"FBgn0051038",713.149257958899,-0.945133023782858,0.157780415001107,-5.99017960357266,2.09609427880048e-09,1.16305284549709e-07
"FBgn0001124",1265.56387631098,0.680480103032854,0.114008072036695,5.96870108297098,2.39149783190345e-09,1.3181745996644e-07
"FBgn0039098",308.493104091368,-1.01993919602916,0.170946228935944,-5.9664328507144,2.42496466657591e-09,1.32782769209943e-07
"FBgn0015541",1766.70855415515,0.531187354008314,0.0893103832945803,5.94765507002978,2.72011033122455e-09,1.47970446318836e-07
"FBgn0038341",427.750828653903,0.891765651733496,0.150024733311005,5.94412422573578,2.77938769421388e-09,1.50213271291832e-07
"FBgn0003447",36.3045953546084,1.98163082072899,0.334557875246806,5.92313308801091,3.15865006954482e-09,1.69609319540784e-07
"FBgn0031548",53.6658415712637,-1.93135119770726,0.32618319126817,-5.92106291620468,3.19867449071321e-09,1.70657485809013e-07
"FBgn0035266",383.491045433592,1.07519828932416,0.18233557866877,5.89681014080834,3.70595856025428e-09,1.96463013356665e-07
"FBgn0038381",158.233296490354,-1.12162576597912,0.190402152352565,-5.89082503595977,3.84272242356772e-09,2.02423916021228e-07
"FBgn0030529",8881.14504394016,-0.563575764267535,0.0958866899418286,-5.8775181895364,4.16462966414888e-09,2.18001337702586e-07
"FBgn0039886",899.370149099067,-0.632677315875432,0.107752744210724,-5.87156568966958,4.3169847264979e-09,2.24564149241513e-07
"FBgn0037683",1434.35534989018,-0.850032739352305,0.144877504873598,-5.86725137276446,4.43078684963281e-09,2.29052415835366e-07
"FBgn0028327",3772.36086785868,0.607345901895427,0.104298140566107,5.82317094627849,5.77414399177479e-09,2.96655558293466e-07
"FBgn0031117",326.528362744363,1.02257405010988,0.176122453784495,5.80604021881903,6.3967602471971e-09,3.26627211886021e-07
"FBgn0031547",265.290557954539,-1.38847216824431,0.239240082865158,-5.80367700769812,6.48761950315225e-09,3.29246689784977e-07
"FBgn0005640",1577.77681384373,0.667334399318679,0.11530995628482,5.78730944681252,7.15227490737427e-09,3.60778085176219e-07
"FBgn0037223",24.9888948742115,-2.62658678237347,0.455048585925137,-5.7721018449788,7.82887708324038e-09,3.90736943064479e-07
"FBgn0040398",4196.28242500357,-0.796049534844427,0.137919047393947,-5.77186073922497,7.84009005067499e-09,3.90736943064479e-07
"FBgn0036007",1262.74646163205,0.792453365863793,0.137334080889786,5.77026008933466,7.9149275066939e-09,3.9211870022746e-07
"FBgn0028514",599.051934071321,-1.05130378436412,0.182360662230888,-5.76497020521373,8.16722683684692e-09,4.02223840018206e-07
"FBgn0035150",2606.02901506028,0.56495398598748,0.0980498258778378,5.76190708070576,8.31687845691699e-09,4.07184584687765e-07
"FBgn0034718",496.037113524655,1.39056651612321,0.241677163622412,5.75381842156912,8.72498708255924e-09,4.24667061334155e-07
"FBgn0038293",3300.82562593858,0.612469486281782,0.106597843191573,5.74560861593682,9.15909405818038e-09,4.4225586023631e-07
"FBgn0030452",945.476353913299,-0.703715538449244,0.122492034418044,-5.74499020930282,9.19263052035103e-09,4.4225586023631e-07
"FBgn0037680",416.834628202428,0.769987173673493,0.134386414494692,5.72965040081417,1.00637825972662e-08,4.81384267569234e-07
"FBgn0033782",162.228946911747,-1.37146688864453,0.239789353119104,-5.71946531739178,1.06859783149598e-08,5.08225128659489e-07
"FBgn0010223",65.4057051830563,-1.43811483066067,0.252716670791909,-5.69062114562612,1.26578069761115e-08,5.98584815126e-07
"FBgn0036821",416.318375721468,-1.74109926964178,0.306550303884122,-5.67965272772956,1.34968487795108e-08,6.34656906168746e-07
"FBgn0052681",160.548780962032,-0.998905078033386,0.176555984509782,-5.65772426693383,1.53393308943819e-08,7.17242983336744e-07
"FBgn0003074",2163.30369517341,0.641503620338415,0.113710676568505,5.64154255077307,1.68533377046042e-08,7.83633126901791e-07
"FBgn0020240",2424.82761269145,0.638422619897637,0.113216077798781,5.6389748904065,1.71065476205646e-08,7.90987754699775e-07
"FBgn0030349",1852.88931531509,-0.586770694348412,0.104394280445849,-5.62071688067987,1.90166694717989e-08,8.74451602286088e-07
"FBgn0004507",1829.85370947088,0.913686549619178,0.163147191381796,5.60038172818417,2.13880293228148e-08,9.78091033262568e-07
"FBgn0036896",643.752497468408,-0.86014299965594,0.154420788373879,-5.57012439007492,2.54557531226162e-08,1.15433048846323e-06
"FBgn0032036",7558.94439960382,-0.560429622896434,0.100621326908807,-5.56969024473658,2.55192610689937e-08,1.15433048846323e-06
"FBgn0004396",2423.42112765343,1.07851279833981,0.19419532115436,5.55375274712481,2.79600898551432e-08,1.25790177223977e-06
"FBgn0031516",871.056180824024,0.725971159468261,0.131167905832403,5.53467065637119,3.11813701404051e-08,1.39528249289566e-06
"FBgn0259224",251.944680542466,1.13416947104192,0.205745103299788,5.51249800287757,3.53776206651191e-08,1.57458789730367e-06
"FBgn0032635",610.767742344328,0.600819367101989,0.109101879997752,5.50695704890117,3.65089289523449e-08,1.61629689186365e-06
"FBgn0035811",1035.69733791406,0.881711983753898,0.160650266818216,5.4883941447268,4.05604219738194e-08,1.78616080469894e-06
"FBgn0261015",434.540945708286,-1.14333046559817,0.20837631194077,-5.48685431155513,4.09154304289508e-08,1.79231119715872e-06
"FBgn0027597",419.23880999328,0.64839991482978,0.119063949068692,5.44581227064539,5.15695041212341e-08,2.24718839162844e-06
"FBgn0037739",357.48198553562,0.763765336806352,0.140320691362335,5.44299867247777,5.23910375369802e-08,2.27109690323066e-06
"FBgn0043364",1194.99433999215,-1.20991502885851,0.222961604984587,-5.42656225022309,5.74497946088866e-08,2.47748518409204e-06
"FBgn0052521",2732.84091761804,-0.928578549957033,0.1713959604041,-5.41773882982846,6.03574954601555e-08,2.58946100368492e-06
"FBgn0013576",2533.72180115197,-0.4849928277391,0.089719746416793,-5.40564198081954,6.45766727400682e-08,2.75626485751584e-06
"FBgn0027348",172.976365334677,-1.18428524299527,0.219383882588968,-5.39823267333689,6.73005523754861e-08,2.85786988480189e-06
"FBgn0011274",777.072886538848,-0.756747296385823,0.140358955745095,-5.39151415289912,6.9866455337481e-08,2.93728725908091e-06
"FBgn0026376",1400.3091590007,-1.00628162479558,0.186642650127981,-5.39148808755971,6.98765922501525e-08,2.93728725908091e-06
"FBgn0044047",273.953039732563,-0.896223096946715,0.166639217722931,-5.37822434114432,7.52240468617267e-08,3.14617960819172e-06
"FBgn0033635",2490.06131835105,1.20539360408628,0.224594205779783,5.36698442375751,8.00639681112528e-08,3.33186203294979e-06
"FBgn0034400",5939.59527855918,-0.542049803591895,0.101024418283758,-5.3655325395627,8.07107273056844e-08,3.34206658390652e-06
"FBgn0028563",1054.61672571693,-0.609066354922517,0.113578882765238,-5.36249644382772,8.20795849159996e-08,3.37125425320525e-06
"FBgn0038436",622.846709757112,0.675334925267654,0.125944210255671,5.3621752353419,8.2225713492811e-08,3.37125425320525e-06
"FBgn0031805",3108.92136889079,-0.855632812568272,0.159930032506905,-5.3500446361213,8.79325409711399e-08,3.587561463249e-06
"FBgn0025678",10270.1392986356,0.547766483360248,0.10249162740081,5.34449981185409,9.06670703916686e-08,3.66814022594061e-06
"FBgn0031258",107.570874265497,-1.32180422710495,0.247331740853828,-5.34425635198246,9.07890047511433e-08,3.66814022594061e-06
"FBgn0027580",1310.06341505753,-0.844958363708723,0.158256249611704,-5.33917848920284,9.33686883264849e-08,3.75414296106924e-06
"FBgn0026585",2021.90872156419,0.533996937753177,0.100106720707025,5.33427659982975,9.59262056524557e-08,3.83843177714129e-06
"FBgn0003317",1351.15641536419,0.538410857388113,0.101398581453486,5.3098460517921,1.09717872477468e-07,4.36929116090893e-06
"FBgn0031359",553.951611605946,-0.8552383772845,0.161256620512476,-5.3035861384577,1.13549585764014e-07,4.5003485824471e-06
"FBgn0010470",4778.27905142065,0.502563846771749,0.0948425774392462,5.29892649842503,1.16485511003263e-07,4.59482894824718e-06
"FBgn0035232",1724.90443352683,-0.535497441660149,0.101406240482141,-5.28071486640366,1.28680817114117e-07,5.05193604170186e-06
"FBgn0038877",983.32738391576,-0.700245793899796,0.132655995997355,-5.27865920145636,1.30132575817155e-07,5.08494567383184e-06
"FBgn0034067",141.711753118672,1.0225795018776,0.194271510369656,5.26366166573706,1.41214218886981e-07,5.49217730745956e-06
"FBgn0010225",12820.9306661221,-0.489503504241314,0.0934135523648694,-5.24017652523623,1.60423063453094e-07,6.21023794009349e-06
"FBgn0043841",14718.0845153021,-0.64041877434344,0.12267754041285,-5.22034247009048,1.78592563581378e-07,6.88160141985098e-06
"FBgn0250904",30.258560257514,1.88231370815145,0.361497515977096,5.20698932899641,1.91929125830177e-07,7.36141066490581e-06
"FBgn0004108",660.396760300009,0.841612402196954,0.161831159821061,5.20055842847283,1.98690643907716e-07,7.58579004240332e-06
"FBgn0051337",891.416092886071,-0.904957729380013,0.174306136550818,-5.19177205855961,2.08301928302488e-07,7.91416915574395e-06
